tree,origin,culture,coral,day,brightness
34,sub,int,4,7,50.91125501
34,sub,int,5,7,107.1328577
34,sub,int,6,7,39.4822471
34,sub,int,7,7,40.02369973
34,sub,int,8,7,54.08422164
34,sub,int,1,9,89.47987129
34,sub,int,2,9,126.4258401
34,sub,int,3,9,17.52796164
34,sub,int,4,9,69.69551183
34,sub,int,5,9,199.629791
34,sub,int,6,9,45.12742598
34,sub,int,7,9,66.79036598
34,sub,int,8,9,23.31984123
34,sub,int,1,11,34.87499361
34,sub,int,2,11,179.3161186
34,sub,int,3,11,127.2861887
34,sub,int,4,11,47.95405786
34,sub,int,5,11,155.5112169
34,sub,int,6,11,25.61637918
34,sub,int,7,11,42.22240566
34,sub,int,8,11,93.58213004
34,sub,int,1,13,41.6027062
34,sub,int,2,13,164.3384529
34,sub,int,3,13,39.41671308
34,sub,int,4,13,30.26928485
34,sub,int,5,13,87.53695378
34,sub,int,6,13,34.35642151
34,sub,int,7,13,40.10306059
34,sub,int,8,13,57.22723092
35,int,int,1,1,48.84949194
35,int,int,2,1,31.83511205
35,int,int,3,1,35.3904361
35,int,int,4,1,66.55174199
35,int,int,5,1,43.91747635
35,int,int,6,1,54.5974834
35,int,int,7,1,49.83829503
35,int,int,8,1,33.4100224
35,int,int,1,3,74.26133877
35,int,int,2,3,151.5783731
35,int,int,3,3,264.7306667
35,int,int,4,3,150.765663
35,int,int,5,3,156.37896
35,int,int,6,3,85.93463456
35,int,int,7,3,134.0247253
35,int,int,8,3,145.2183521
35,int,int,1,5,60.89539251
35,int,int,2,5,47.16599634
35,int,int,3,5,42.73640219
35,int,int,4,5,90.54367964
35,int,int,5,5,71.62490809
35,int,int,6,5,51.53216261
35,int,int,7,5,60.29744145
35,int,int,8,5,47.17432907
35,int,int,1,7,44.22607494
35,int,int,2,7,75.82875672
35,int,int,3,7,67.03788025
35,int,int,4,7,77.87576875
35,int,int,5,7,56.07553377
35,int,int,6,7,53.29943823
35,int,int,7,7,61.18161006
35,int,int,8,7,54.32000149
35,int,int,1,9,29.21751331
35,int,int,2,9,55.96006884
35,int,int,3,9,95.73296766
35,int,int,4,9,76.04024187
35,int,int,5,9,51.36854206
35,int,int,6,9,71.59650332
35,int,int,7,9,53.48259403
35,int,int,8,9,61.89777336
35,int,int,1,11,39.610933
35,int,int,2,11,30.78077876
35,int,int,3,11,49.89145748
35,int,int,4,11,29.17173938
35,int,int,5,11,45.36553377
35,int,int,6,11,37.82594405
35,int,int,7,11,118.9071129
35,int,int,8,11,40.97445686
35,int,int,1,13,23.92015908
35,int,int,2,13,31.29492748
35,int,int,3,13,45.48209279
35,int,int,4,13,40.76975189
35,int,int,5,13,31.11955512
35,int,int,6,13,31.47592447
35,int,int,7,13,34.51712428
35,int,int,8,13,15.45071592
38,sub,int,1,1,40.3182736
38,sub,int,2,1,61.5219378
