day,date,Source,temp,time
14,2020-02-16,Subtidal,29.352,night
14,2020-02-16,Subtidal,29.252,night
14,2020-02-16,Subtidal,29.252,night
14,2020-02-16,Subtidal,29.252,night
14,2020-02-16,Subtidal,29.352,night
14,2020-02-16,Subtidal,29.252,night
15,2020-02-17,Subtidal,29.252,day
15,2020-02-17,Subtidal,29.352,day
15,2020-02-17,Subtidal,29.352,day
15,2020-02-17,Subtidal,29.552,day
15,2020-02-17,Subtidal,29.652,day
15,2020-02-17,Subtidal,29.752,day
15,2020-02-17,Subtidal,29.853,day
15,2020-02-17,Subtidal,30.054,day
15,2020-02-17,Subtidal,30.054,day
15,2020-02-17,Subtidal,30.054,day
15,2020-02-17,Subtidal,29.953,day
15,2020-02-17,Subtidal,29.752,day
15,2020-02-17,Subtidal,29.652,day
16,2020-02-17,Subtidal,29.652,night
16,2020-02-17,Subtidal,29.452,night
16,2020-02-17,Subtidal,29.352,night
16,2020-02-17,Subtidal,29.252,night
16,2020-02-17,Subtidal,29.352,night
16,2020-02-17,Subtidal,29.352,night
16,2020-02-17,Subtidal,29.352,night
16,2020-02-17,Subtidal,29.352,night
16,2020-02-17,Subtidal,29.352,night
16,2020-02-17,Subtidal,29.352,night
16,2020-02-17,Subtidal,29.352,night
17,2020-02-18,Subtidal,29.352,day
17,2020-02-18,Subtidal,29.452,day
17,2020-02-18,Subtidal,29.552,day
17,2020-02-18,Subtidal,29.652,day
17,2020-02-18,Subtidal,29.752,day
17,2020-02-18,Subtidal,29.652,day
17,2020-02-18,Subtidal,29.552,day
17,2020-02-18,Subtidal,29.552,day
17,2020-02-18,Subtidal,29.752,day
17,2020-02-18,Subtidal,29.853,day
17,2020-02-18,Subtidal,29.953,day
17,2020-02-18,Subtidal,29.853,day
17,2020-02-18,Subtidal,29.552,day
18,2020-02-18,Subtidal,29.652,night
18,2020-02-18,Subtidal,29.652,night
18,2020-02-18,Subtidal,29.652,night
18,2020-02-18,Subtidal,29.252,night
18,2020-02-18,Subtidal,29.152,night
18,2020-02-18,Subtidal,29.252,night
18,2020-02-18,Subtidal,29.452,night
18,2020-02-18,Subtidal,29.352,night
18,2020-02-18,Subtidal,29.252,night
18,2020-02-18,Subtidal,29.352,night
18,2020-02-18,Subtidal,29.352,night
19,2020-02-19,Subtidal,29.452,day
19,2020-02-19,Subtidal,29.552,day
19,2020-02-19,Subtidal,29.652,day
19,2020-02-19,Subtidal,29.752,day
19,2020-02-19,Subtidal,29.853,day
19,2020-02-19,Subtidal,29.652,day
19,2020-02-19,Subtidal,29.552,day
19,2020-02-19,Subtidal,29.552,day
19,2020-02-19,Subtidal,29.652,day
19,2020-02-19,Subtidal,29.752,day
19,2020-02-19,Subtidal,29.752,day
19,2020-02-19,Subtidal,29.752,day
19,2020-02-19,Subtidal,29.652,day
20,2020-02-19,Subtidal,29.652,night
20,2020-02-19,Subtidal,29.652,night
20,2020-02-19,Subtidal,29.652,night
20,2020-02-19,Subtidal,29.752,night
20,2020-02-19,Subtidal,29.652,night
20,2020-02-19,Subtidal,29.352,night
20,2020-02-19,Subtidal,29.252,night
20,2020-02-19,Subtidal,29.252,night
20,2020-02-19,Subtidal,29.352,night
20,2020-02-19,Subtidal,29.252,night
20,2020-02-19,Subtidal,29.252,night
21,2020-02-20,Subtidal,29.352,day
21,2020-02-20,Subtidal,29.452,day
21,2020-02-20,Subtidal,29.652,day
21,2020-02-20,Subtidal,29.853,day
21,2020-02-20,Subtidal,29.853,day
21,2020-02-20,Subtidal,29.953,day
21,2020-02-20,Subtidal,29.652,day
21,2020-02-20,Subtidal,29.652,day
21,2020-02-20,Subtidal,29.652,day
21,2020-02-20,Subtidal,29.953,day
21,2020-02-20,Subtidal,29.853,day
21,2020-02-20,Subtidal,29.652,day
21,2020-02-20,Subtidal,29.652,day
